#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
APC	HDAC1	9606.ENSP00000257430	9606.ENSP00000362649	0	0	0	0	0.057	0.068	0.500	0	0.522
AR	TP53	9606.ENSP00000363822	9606.ENSP00000269305	0	0	0	0	0	0.439	0	0	0.439
AR	PGR	9606.ENSP00000363822	9606.ENSP00000325120	0	0	0	0.806	0.124	0	0.500	0	0.543
AR	HDAC1	9606.ENSP00000363822	9606.ENSP00000362649	0	0	0	0	0	0.789	0	0	0.789
ATM	MSH2	9606.ENSP00000278616	9606.ENSP00000233146	0	0	0	0	0.066	0.324	0.900	0	0.931
ATM	TP53	9606.ENSP00000278616	9606.ENSP00000269305	0	0	0	0	0.103	0.928	0.900	0	0.993
ATM	CDK12	9606.ENSP00000278616	9606.ENSP00000398880	0	0	0	0	0.088	0	0.500	0	0.524
CDK12	TP53	9606.ENSP00000398880	9606.ENSP00000269305	0	0	0	0	0.044	0	0.500	0	0.501
CDK12	ATM	9606.ENSP00000398880	9606.ENSP00000278616	0	0	0	0	0.088	0	0.500	0	0.524
CDK12	ERCC6	9606.ENSP00000398880	9606.ENSP00000348089	0	0	0	0	0.093	0.091	0.540	0	0.587
CDKN2A	TP53	9606.ENSP00000418915	9606.ENSP00000269305	0	0	0	0	0	0.874	0.900	0	0.986
ERCC6	TP53	9606.ENSP00000348089	9606.ENSP00000269305	0	0	0	0	0	0.625	0	0	0.625
ERCC6	HDAC1	9606.ENSP00000348089	9606.ENSP00000362649	0	0	0	0	0	0.217	0.500	0	0.591
ERCC6	CDK12	9606.ENSP00000348089	9606.ENSP00000398880	0	0	0	0	0.093	0.091	0.540	0	0.587
HDAC1	MSH2	9606.ENSP00000362649	9606.ENSP00000233146	0.056	0	0	0	0.427	0.126	0	0	0.486
HDAC1	APC	9606.ENSP00000362649	9606.ENSP00000257430	0	0	0	0	0.057	0.068	0.500	0	0.522
HDAC1	TP53	9606.ENSP00000362649	9606.ENSP00000269305	0	0	0	0	0.109	0.924	0.500	0	0.963
HDAC1	ERCC6	9606.ENSP00000362649	9606.ENSP00000348089	0	0	0	0	0	0.217	0.500	0	0.591
HDAC1	AR	9606.ENSP00000362649	9606.ENSP00000363822	0	0	0	0	0	0.789	0	0	0.789
MSH2	HDAC1	9606.ENSP00000233146	9606.ENSP00000362649	0.056	0	0	0	0.427	0.126	0	0	0.486
MSH2	TP53	9606.ENSP00000233146	9606.ENSP00000269305	0	0	0	0	0.061	0.599	0.500	0	0.795
MSH2	ATM	9606.ENSP00000233146	9606.ENSP00000278616	0	0	0	0	0.066	0.324	0.900	0	0.931
PGR	AR	9606.ENSP00000325120	9606.ENSP00000363822	0	0	0	0.806	0.124	0	0.500	0	0.543
TP53	MSH2	9606.ENSP00000269305	9606.ENSP00000233146	0	0	0	0	0.061	0.599	0.500	0	0.795
TP53	ERCC6	9606.ENSP00000269305	9606.ENSP00000348089	0	0	0	0	0	0.625	0	0	0.625
TP53	CDK12	9606.ENSP00000269305	9606.ENSP00000398880	0	0	0	0	0.044	0	0.500	0	0.501
TP53	AR	9606.ENSP00000269305	9606.ENSP00000363822	0	0	0	0	0	0.439	0	0	0.439
TP53	HDAC1	9606.ENSP00000269305	9606.ENSP00000362649	0	0	0	0	0.109	0.924	0.500	0	0.963
TP53	ATM	9606.ENSP00000269305	9606.ENSP00000278616	0	0	0	0	0.103	0.928	0.900	0	0.993
TP53	CDKN2A	9606.ENSP00000269305	9606.ENSP00000418915	0	0	0	0	0	0.874	0.900	0	0.986
