#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0006974	Cellular response to DNA damage stimulus	20	744	1.17	1.66e-15	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000260947,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000285398,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000322570,9606.ENSP00000348020,9606.ENSP00000348089,9606.ENSP00000355759,9606.ENSP00000384849,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000478887,9606.ENSP00000498215,9606.ENSP00000500891	MSH2,APC,BRIP1,BARD1,TP53,ATM,ERCC3,FANCD2,SLX4,ERCC4,POLE,MLH3,ERCC6,PARP1,CDKN1A,SETD2,BRCA1,MYC,FANCB,MUTYH
GO Process	GO:0033554	Cellular response to stress	25	1572	0.94	1.66e-15	9606.ENSP00000222254,9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000260947,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000285398,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000322570,9606.ENSP00000348020,9606.ENSP00000348089,9606.ENSP00000351015,9606.ENSP00000355759,9606.ENSP00000364699,9606.ENSP00000384849,9606.ENSP00000386759,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000478887,9606.ENSP00000498215,9606.ENSP00000500891	PIK3R2,MSH2,APC,BRIP1,BARD1,TP53,ATM,ERCC3,FANCD2,SLX4,MAP2K1,ERCC4,POLE,MLH3,ERCC6,NF1,PARP1,SDHD,CDKN1A,SETD2,CDKN2A,BRCA1,MYC,FANCB,MUTYH
GO Process	GO:0006281	DNA repair	17	497	1.27	2.56e-14	9606.ENSP00000233146,9606.ENSP00000259008,9606.ENSP00000260947,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000285398,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000322570,9606.ENSP00000348020,9606.ENSP00000348089,9606.ENSP00000355759,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498215,9606.ENSP00000500891	MSH2,BRIP1,BARD1,TP53,ATM,ERCC3,FANCD2,SLX4,ERCC4,POLE,MLH3,ERCC6,PARP1,SETD2,BRCA1,FANCB,MUTYH
GO Process	GO:0051052	Regulation of DNA metabolic process	15	541	1.18	4.70e-11	9606.ENSP00000233146,9606.ENSP00000260947,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000355759,9606.ENSP00000384849,9606.ENSP00000386593,9606.ENSP00000386759,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000478887,9606.ENSP00000498215	MSH2,BARD1,TP53,ATM,SLX4,ERCC4,ERCC6,PARP1,CDKN1A,PBRM1,SETD2,CDKN2A,BRCA1,MYC,FANCB
GO Process	GO:0006302	Double-strand break repair	11	204	1.47	2.46e-10	9606.ENSP00000233146,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000355759,9606.ENSP00000418960,9606.ENSP00000498215	MSH2,BRIP1,TP53,ATM,FANCD2,SLX4,ERCC4,ERCC6,PARP1,BRCA1,FANCB
GO Process	GO:0010212	Response to ionizing radiation	10	143	1.58	2.79e-10	9606.ENSP00000233146,9606.ENSP00000260947,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000348089,9606.ENSP00000355759,9606.ENSP00000384849,9606.ENSP00000418960,9606.ENSP00000478887	MSH2,BARD1,TP53,ATM,FANCD2,ERCC6,PARP1,CDKN1A,BRCA1,MYC
GO Process	GO:0051716	Cellular response to stimulus	33	6357	0.45	2.96e-10	9606.ENSP00000222254,9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000260947,9606.ENSP00000269305,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000285398,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000322570,9606.ENSP00000325120,9606.ENSP00000348020,9606.ENSP00000348089,9606.ENSP00000351015,9606.ENSP00000355759,9606.ENSP00000357494,9606.ENSP00000358918,9606.ENSP00000360141,9606.ENSP00000362649,9606.ENSP00000363822,9606.ENSP00000364699,9606.ENSP00000384849,9606.ENSP00000386759,9606.ENSP00000414150,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000478887,9606.ENSP00000498215,9606.ENSP00000500891	PIK3R2,MSH2,APC,BRIP1,BARD1,TP53,NTRK2,ATM,ERCC3,FANCD2,SLX4,MAP2K1,ERCC4,POLE,PGR,MLH3,ERCC6,NF1,PARP1,ROS1,SUFU,GNAS,HDAC1,AR,SDHD,CDKN1A,SETD2,ERG,CDKN2A,BRCA1,MYC,FANCB,MUTYH
GO Process	GO:0000075	Cell cycle checkpoint signaling	10	157	1.54	5.26e-10	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000260947,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000348089,9606.ENSP00000384849,9606.ENSP00000418960	MSH2,APC,BRIP1,BARD1,TP53,ATM,FANCD2,ERCC6,CDKN1A,BRCA1
GO Process	GO:2001020	Regulation of response to DNA damage stimulus	12	316	1.32	5.26e-10	9606.ENSP00000260947,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000355759,9606.ENSP00000386593,9606.ENSP00000386759,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000478887,9606.ENSP00000498215	BARD1,TP53,ATM,ERCC4,ERCC6,PARP1,PBRM1,SETD2,CDKN2A,BRCA1,MYC,FANCB
GO Process	GO:0006950	Response to stress	26	3358	0.63	6.54e-10	9606.ENSP00000222254,9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000260947,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000285398,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000322570,9606.ENSP00000348020,9606.ENSP00000348089,9606.ENSP00000351015,9606.ENSP00000355759,9606.ENSP00000360141,9606.ENSP00000364699,9606.ENSP00000384849,9606.ENSP00000386759,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000478887,9606.ENSP00000498215,9606.ENSP00000500891	PIK3R2,MSH2,APC,BRIP1,BARD1,TP53,ATM,ERCC3,FANCD2,SLX4,MAP2K1,ERCC4,POLE,MLH3,ERCC6,NF1,PARP1,GNAS,SDHD,CDKN1A,SETD2,CDKN2A,BRCA1,MYC,FANCB,MUTYH
GO Process	GO:0035825	Homologous recombination	8	63	1.84	6.54e-10	9606.ENSP00000259008,9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000348020,9606.ENSP00000418960	BRIP1,BARD1,ATM,FANCD2,SLX4,ERCC4,MLH3,BRCA1
GO Process	GO:1901987	Regulation of cell cycle phase transition	13	431	1.22	6.54e-10	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000260947,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000285398,9606.ENSP00000287647,9606.ENSP00000348089,9606.ENSP00000384849,9606.ENSP00000386593,9606.ENSP00000418915,9606.ENSP00000418960	MSH2,APC,BRIP1,BARD1,TP53,ATM,ERCC3,FANCD2,ERCC6,CDKN1A,PBRM1,CDKN2A,BRCA1
GO Process	GO:0009314	Response to radiation	13	444	1.2	7.41e-10	9606.ENSP00000233146,9606.ENSP00000260947,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000285398,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000351015,9606.ENSP00000355759,9606.ENSP00000384849,9606.ENSP00000418960,9606.ENSP00000478887	MSH2,BARD1,TP53,ATM,ERCC3,FANCD2,ERCC4,ERCC6,NF1,PARP1,CDKN1A,BRCA1,MYC
GO Process	GO:0010564	Regulation of cell cycle process	15	716	1.06	8.30e-10	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000260947,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000285398,9606.ENSP00000287647,9606.ENSP00000348089,9606.ENSP00000384849,9606.ENSP00000386593,9606.ENSP00000386759,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000478887	MSH2,APC,BRIP1,BARD1,TP53,ATM,ERCC3,FANCD2,ERCC6,CDKN1A,PBRM1,SETD2,CDKN2A,BRCA1,MYC
GO Process	GO:0051276	Chromosome organization	16	968	0.96	3.62e-09	9606.ENSP00000233146,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000285398,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000348020,9606.ENSP00000348089,9606.ENSP00000355759,9606.ENSP00000362649,9606.ENSP00000386593,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000478887	MSH2,BRIP1,TP53,ATM,ERCC3,FANCD2,SLX4,ERCC4,MLH3,ERCC6,PARP1,HDAC1,PBRM1,SETD2,BRCA1,MYC
GO Process	GO:0022402	Cell cycle process	15	835	0.99	6.35e-09	9606.ENSP00000233146,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000260947,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000322570,9606.ENSP00000348020,9606.ENSP00000384849,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000478887	MSH2,APC,BRIP1,BARD1,TP53,ATM,FANCD2,SLX4,ERCC4,POLE,MLH3,CDKN1A,SETD2,BRCA1,MYC
GO Process	GO:0051053	Negative regulation of DNA metabolic process	9	149	1.52	7.32e-09	9606.ENSP00000233146,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000355759,9606.ENSP00000384849,9606.ENSP00000498215	MSH2,TP53,ATM,SLX4,ERCC4,ERCC6,PARP1,CDKN1A,FANCB
