#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0031297	Replication fork processing	5	45	2.44	7.47e-08	9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	WRN,ATR,ATRX,BRCA2,BRCA1
GO Process	GO:0071479	Cellular response to ionizing radiation	4	75	2.12	5.19e-05	9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000369497,9606.ENSP00000418960	WRN,ATR,BRCA2,BRCA1
GO Process	GO:0034502	Protein localization to chromosome	4	92	2.03	9.53e-05	9606.ENSP00000267163,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497	RB1,ATR,ATRX,BRCA2
GO Process	GO:0070198	Protein localization to chromosome, telomeric region	3	17	2.64	0.00011	9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497	ATR,ATRX,BRCA2
GO Process	GO:0010564	Regulation of cell cycle process	6	716	1.31	0.00012	9606.ENSP00000267163,9606.ENSP00000342924,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,MCPH1,ATR,ATRX,BRCA2,BRCA1
GO Process	GO:0033365	Protein localization to organelle	6	713	1.32	0.00012	9606.ENSP00000267163,9606.ENSP00000298139,9606.ENSP00000342924,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497	RB1,WRN,MCPH1,ATR,ATRX,BRCA2
GO Process	GO:0022402	Cell cycle process	6	835	1.25	0.00024	9606.ENSP00000267163,9606.ENSP00000298139,9606.ENSP00000342924,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,WRN,MCPH1,ATRX,BRCA2,BRCA1
GO Process	GO:0042770	Signal transduction in response to DNA damage	4	135	1.86	0.00024	9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	ATR,ATRX,BRCA2,BRCA1
GO Process	GO:0051276	Chromosome organization	6	968	1.18	0.00045	9606.ENSP00000267163,9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	RB1,WRN,ATR,ATRX,BRCA2,BRCA1
GO Process	GO:0006281	DNA repair	5	497	1.39	0.00060	9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000418960	WRN,ATR,ATRX,BRCA2,BRCA1
