#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATR	WRN	9606.ENSP00000343741	9606.ENSP00000298139	0	0	0	0	0.227	0.796	0.500	0	0.914
ATR	MCPH1	9606.ENSP00000343741	9606.ENSP00000342924	0	0	0	0	0.067	0.496	0	0	0.510
ATR	BRCA2	9606.ENSP00000343741	9606.ENSP00000369497	0	0	0	0	0.105	0	0.500	0	0.533
ATR	BRCA1	9606.ENSP00000343741	9606.ENSP00000418960	0	0	0	0	0.106	0.838	0.900	0	0.984
ATRX	WRN	9606.ENSP00000362441	9606.ENSP00000298139	0.048	0	0	0	0.057	0.399	0	0	0.413
BRCA1	RB1	9606.ENSP00000418960	9606.ENSP00000267163	0	0	0	0	0.070	0.727	0	0	0.735
BRCA1	WRN	9606.ENSP00000418960	9606.ENSP00000298139	0	0	0	0	0.079	0.702	0.500	0	0.850
BRCA1	MCPH1	9606.ENSP00000418960	9606.ENSP00000342924	0	0	0	0.550	0.205	0.439	0	0	0.534
BRCA1	ATR	9606.ENSP00000418960	9606.ENSP00000343741	0	0	0	0	0.106	0.838	0.900	0	0.984
BRCA1	BRCA2	9606.ENSP00000418960	9606.ENSP00000369497	0	0	0	0	0.383	0.896	0.900	0	0.993
BRCA2	WRN	9606.ENSP00000369497	9606.ENSP00000298139	0	0	0	0	0.142	0	0.500	0	0.552
BRCA2	MCPH1	9606.ENSP00000369497	9606.ENSP00000342924	0	0	0	0	0.104	0.488	0	0	0.521
BRCA2	ATR	9606.ENSP00000369497	9606.ENSP00000343741	0	0	0	0	0.105	0	0.500	0	0.533
BRCA2	BRCA1	9606.ENSP00000369497	9606.ENSP00000418960	0	0	0	0	0.383	0.896	0.900	0	0.993
MCPH1	BRCA1	9606.ENSP00000342924	9606.ENSP00000418960	0	0	0	0.550	0.205	0.439	0	0	0.534
MCPH1	ATR	9606.ENSP00000342924	9606.ENSP00000343741	0	0	0	0	0.067	0.496	0	0	0.510
MCPH1	BRCA2	9606.ENSP00000342924	9606.ENSP00000369497	0	0	0	0	0.104	0.488	0	0	0.521
RB1	BRCA1	9606.ENSP00000267163	9606.ENSP00000418960	0	0	0	0	0.070	0.727	0	0	0.735
WRN	ATRX	9606.ENSP00000298139	9606.ENSP00000362441	0.048	0	0	0	0.057	0.399	0	0	0.413
WRN	BRCA2	9606.ENSP00000298139	9606.ENSP00000369497	0	0	0	0	0.142	0	0.500	0	0.552
WRN	ATR	9606.ENSP00000298139	9606.ENSP00000343741	0	0	0	0	0.227	0.796	0.500	0	0.914
WRN	BRCA1	9606.ENSP00000298139	9606.ENSP00000418960	0	0	0	0	0.079	0.702	0.500	0	0.850
