#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0034502	Protein localization to chromosome	3	92	2.03	0.0337	9606.ENSP00000233146,9606.ENSP00000267163,9606.ENSP00000362441	MSH2,RB1,ATRX
GO Function	GO:0008094	ATP-dependent activity, acting on DNA	3	110	1.95	0.0179	9606.ENSP00000233146,9606.ENSP00000267430,9606.ENSP00000362441	MSH2,FANCM,ATRX
Monarch	HP:0004377	Hematological neoplasm	4	232	1.75	0.0036	9606.ENSP00000233146,9606.ENSP00000267163,9606.ENSP00000267430,9606.ENSP00000362441	MSH2,RB1,FANCM,ATRX
Monarch	HP:0000163	Abnormal oral cavity morphology	6	1901	1.02	0.0050	9606.ENSP00000233146,9606.ENSP00000267163,9606.ENSP00000267430,9606.ENSP00000276659,9606.ENSP00000277120,9606.ENSP00000362441	MSH2,RB1,FANCM,RSPO2,NTRK2,ATRX
Monarch	HP:0012252	Abnormal respiratory system morphology	5	1067	1.19	0.0055	9606.ENSP00000233146,9606.ENSP00000267163,9606.ENSP00000267430,9606.ENSP00000276659,9606.ENSP00000362441	MSH2,RB1,FANCM,RSPO2,ATRX
Monarch	HP:0012443	Abnormality of brain morphology	6	2254	0.94	0.0055	9606.ENSP00000233146,9606.ENSP00000267163,9606.ENSP00000267430,9606.ENSP00000276659,9606.ENSP00000277120,9606.ENSP00000362441	MSH2,RB1,FANCM,RSPO2,NTRK2,ATRX
Monarch	HP:0000478	Abnormality of the eye	6	2876	0.84	0.0072	9606.ENSP00000233146,9606.ENSP00000267163,9606.ENSP00000267430,9606.ENSP00000276659,9606.ENSP00000277120,9606.ENSP00000362441	MSH2,RB1,FANCM,RSPO2,NTRK2,ATRX
Monarch	HP:0001881	Abnormal leukocyte morphology	4	517	1.4	0.0072	9606.ENSP00000233146,9606.ENSP00000267163,9606.ENSP00000267430,9606.ENSP00000362441	MSH2,RB1,FANCM,ATRX
Monarch	HP:0001909	Leukemia	3	141	1.84	0.0072	9606.ENSP00000233146,9606.ENSP00000267163,9606.ENSP00000362441	MSH2,RB1,ATRX
Monarch	HP:0004325	Decreased body weight	5	1274	1.11	0.0072	9606.ENSP00000233146,9606.ENSP00000267163,9606.ENSP00000267430,9606.ENSP00000277120,9606.ENSP00000362441	MSH2,RB1,FANCM,NTRK2,ATRX
