#Uploaded_variation	Location	Allele	Consequence	IMPACT	SYMBOL	Gene	Feature_type	Feature	BIOTYPE	EXON	INTRON	HGVSc	HGVSp	cDNA_position	CDS_position	Protein_position	Amino_acids	Codons	Existing_variation	DISTANCE	STRAND	FLAGS	SYMBOL_SOURCE	HGNC_ID	MANE_SELECT	MANE_PLUS_CLINICAL	TSL	APPRIS	SIFT	PolyPhen	AF	CLIN_SIG	SOMATIC	PHENO	PUBMED	MOTIF_NAME	MOTIF_POS	HIGH_INF_POS	MOTIF_SCORE_CHANGE	TRANSCRIPTION_FACTORS
.	1:2560686-2560694	-	frameshift_variant	HIGH	TNFRSF14	ENSG00000157873	Transcript	ENST00000355716.5	protein_coding	5/8	-	-	-	818-825	524-531	175-177	TLE/X	aCCCTGGAG/a	-	-	1	-	HGNC	HGNC:11912	NM_003820.4	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
.	1:2560686-2560694	-	frameshift_variant	HIGH	TNFRSF14	ENSG00000157873	Transcript	ENST00000409119.5	protein_coding	6/7	-	-	-	644-651	524-531	175-177	TLE/X	aCCCTGGAG/a	-	-	1	-	HGNC	HGNC:11912	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-
.	1:2560686-2560694	-	upstream_gene_variant	MODIFIER	TNFRSF14-AS1	ENSG00000238164	Transcript	ENST00000416860.3	lncRNA	-	-	-	-	-	-	-	-	-	-	3656	-1	-	HGNC	HGNC:26966	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
.	1:2560686-2560694	-	frameshift_variant	HIGH	TNFRSF14	ENSG00000157873	Transcript	ENST00000426449.5	protein_coding	6/6	-	-	-	633-640	524-531	175-177	TLE/X	aCCCTGGAG/a	-	-	1	cds_end_NF	HGNC	HGNC:11912	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-
.	1:2560686-2560694	-	frameshift_variant	HIGH	TNFRSF14	ENSG00000157873	Transcript	ENST00000434817.5	protein_coding	6/7	-	-	-	664-671	524-531	175-177	TLE/X	aCCCTGGAG/a	-	-	1	cds_end_NF	HGNC	HGNC:11912	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-
.	1:2560686-2560694	-	frameshift_variant	HIGH	TNFRSF14	ENSG00000157873	Transcript	ENST00000435221.6	protein_coding	6/7	-	-	-	1055-1062	524-531	175-177	TLE/X	aCCCTGGAG/a	-	-	1	cds_end_NF	HGNC	HGNC:11912	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
.	1:2560686-2560694	-	downstream_gene_variant	MODIFIER	TNFRSF14	ENSG00000157873	Transcript	ENST00000442392.6	protein_coding_CDS_not_defined	-	-	-	-	-	-	-	-	-	-	1531	1	-	HGNC	HGNC:11912	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
.	1:2560686-2560694	-	frameshift_variant	HIGH	TNFRSF14	ENSG00000157873	Transcript	ENST00000451778.5	protein_coding	6/7	-	-	-	657-664	524-531	175-177	TLE/X	aCCCTGGAG/a	-	-	1	cds_end_NF	HGNC	HGNC:11912	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-
.	1:2560686-2560694	-	upstream_gene_variant	MODIFIER	TNFRSF14-AS1	ENSG00000238164	Transcript	ENST00000452793.1	lncRNA	-	-	-	-	-	-	-	-	-	-	3656	-1	-	HGNC	HGNC:26966	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-
.	1:2560686-2560694	-	non_coding_transcript_exon_variant	MODIFIER	TNFRSF14	ENSG00000157873	Transcript	ENST00000463471.6	retained_intron	4/5	-	-	-	1972-1979	-	-	-	-	-	-	1	-	HGNC	HGNC:11912	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
.	1:2560686-2560694	-	non_coding_transcript_exon_variant	MODIFIER	TNFRSF14	ENSG00000157873	Transcript	ENST00000463835.5	retained_intron	1/4	-	-	-	134-141	-	-	-	-	-	-	1	-	HGNC	HGNC:11912	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
.	1:2560686-2560694	-	non_coding_transcript_exon_variant	MODIFIER	TNFRSF14	ENSG00000157873	Transcript	ENST00000466750.5	retained_intron	3/6	-	-	-	1722-1729	-	-	-	-	-	-	1	-	HGNC	HGNC:11912	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
.	1:2560686-2560694	-	non_coding_transcript_exon_variant	MODIFIER	TNFRSF14	ENSG00000157873	Transcript	ENST00000471768.1	retained_intron	2/3	-	-	-	463-470	-	-	-	-	-	-	1	-	HGNC	HGNC:11912	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-
.	1:2560686-2560694	-	non_coding_transcript_exon_variant	MODIFIER	TNFRSF14	ENSG00000157873	Transcript	ENST00000475523.5	retained_intron	3/6	-	-	-	761-768	-	-	-	-	-	-	1	-	HGNC	HGNC:11912	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
.	1:2560686-2560694	-	upstream_gene_variant	MODIFIER	TNFRSF14	ENSG00000157873	Transcript	ENST00000480305.1	protein_coding_CDS_not_defined	-	-	-	-	-	-	-	-	-	-	1107	1	-	HGNC	HGNC:11912	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
.	1:2560686-2560694	-	downstream_gene_variant	MODIFIER	TNFRSF14	ENSG00000157873	Transcript	ENST00000482074.6	retained_intron	-	-	-	-	-	-	-	-	-	-	1825	1	-	HGNC	HGNC:11912	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
.	1:2560686-2560694	-	frameshift_variant	HIGH	TNFRSF14	ENSG00000157873	Transcript	ENST00000482602.5	protein_coding	1/4	-	-	-	6-13	8-15	3-5	TLE/X	aCCCTGGAG/a	-	-	1	cds_start_NF	HGNC	HGNC:11912	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
