#Uploaded_variation	Location	Allele	Consequence	IMPACT	SYMBOL	Gene	Feature_type	Feature	BIOTYPE	EXON	INTRON	HGVSc	HGVSp	cDNA_position	CDS_position	Protein_position	Amino_acids	Codons	Existing_variation	DISTANCE	STRAND	FLAGS	SYMBOL_SOURCE	HGNC_ID	MANE_SELECT	MANE_PLUS_CLINICAL	TSL	APPRIS	SIFT	PolyPhen	AF	CLIN_SIG	SOMATIC	PHENO	PUBMED	MOTIF_NAME	MOTIF_POS	HIGH_INF_POS	MOTIF_SCORE_CHANGE	TRANSCRIPTION_FACTORS
.	1:179109038-179109038	C	intron_variant	MODIFIER	ABL2	ENSG00000143322	Transcript	ENST00000344730.8	protein_coding	-	12/12	-	-	-	-	-	-	-	rs774330058	-	-1	-	HGNC	HGNC:77	-	-	1	A1	-	-	-	-	-	-	-	-	-	-	-	-
.	1:179109038-179109038	C	synonymous_variant	LOW	ABL2	ENSG00000143322	Transcript	ENST00000367623.8	protein_coding	11/11	-	-	-	2166	2166	722	G	ggT/ggG	rs774330058	-	-1	-	HGNC	HGNC:77	-	-	1	A1	-	-	-	-	-	-	-	-	-	-	-	-
.	1:179109038-179109038	C	synonymous_variant	LOW	ABL2	ENSG00000143322	Transcript	ENST00000502732.6	protein_coding	12/12	-	-	-	2509	2229	743	G	ggT/ggG	rs774330058	-	-1	-	HGNC	HGNC:77	NM_007314.4	-	1	A1	-	-	-	-	-	-	-	-	-	-	-	-
.	1:179109038-179109038	C	intron_variant	MODIFIER	ABL2	ENSG00000143322	Transcript	ENST00000504405.5	protein_coding	-	11/11	-	-	-	-	-	-	-	rs774330058	-	-1	-	HGNC	HGNC:77	-	-	1	A1	-	-	-	-	-	-	-	-	-	-	-	-
.	1:179109038-179109038	C	intron_variant	MODIFIER	ABL2	ENSG00000143322	Transcript	ENST00000507173.5	protein_coding	-	11/11	-	-	-	-	-	-	-	rs774330058	-	-1	-	HGNC	HGNC:77	-	-	1	A1	-	-	-	-	-	-	-	-	-	-	-	-
.	1:179109038-179109038	C	intron_variant	MODIFIER	ABL2	ENSG00000143322	Transcript	ENST00000511413.5	protein_coding	-	12/12	-	-	-	-	-	-	-	rs774330058	-	-1	-	HGNC	HGNC:77	-	-	1	A1	-	-	-	-	-	-	-	-	-	-	-	-
.	1:179109038-179109038	C	synonymous_variant	LOW	ABL2	ENSG00000143322	Transcript	ENST00000512653.5	protein_coding	12/12	-	-	-	2196	2184	728	G	ggT/ggG	rs774330058	-	-1	-	HGNC	HGNC:77	-	-	1	P3	-	-	-	-	-	-	-	-	-	-	-	-
.	1:179109038-179109038	C	downstream_gene_variant	MODIFIER	ABL2	ENSG00000143322	Transcript	ENST00000668691.1	protein_coding_CDS_not_defined	-	-	-	-	-	-	-	-	-	rs774330058	1543	-1	-	HGNC	HGNC:77	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	11:119274877-119274877	A	missense_variant	MODERATE	CBL	ENSG00000110395	Transcript	ENST00000264033.6	protein_coding	5/16	-	-	-	872	793	265	H/N	Cat/Aat	COSV50633001,COSV50661418	-	1	-	HGNC	HGNC:1541	NM_005188.4	-	1	P2	deleterious_low_confidence(0)	probably_damaging(1)	-	-	1,1	1,1	-	-	-	-	-	-
.	11:119274877-119274877	A	missense_variant	MODERATE	CBL	ENSG00000110395	Transcript	ENST00000634586.1	protein_coding	5/18	-	-	-	913	793	265	H/N	Cat/Aat	COSV50633001,COSV50661418	-	1	-	HGNC	HGNC:1541	-	-	5	-	deleterious_low_confidence(0)	probably_damaging(1)	-	-	1,1	1,1	-	-	-	-	-	-
