# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
SDHD	ENSG00000204370	ENST00000375549	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0
SDHD	ENSG00000204370	ENST00000525291	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0
SDHD	ENSG00000204370	ENST00000526592	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0
SDHD	ENSG00000204370	ENST00000528021	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0
SDHD	ENSG00000204370	ENST00000528048	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0
SDHD	ENSG00000204370	ENST00000528182	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0
AKT1	ENSG00000142208	ENST00000349310	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
AKT1	ENSG00000142208	ENST00000402615	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
AKT1	ENSG00000142208	ENST00000407796	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
AKT1	ENSG00000142208	ENST00000553797	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
AKT1	ENSG00000142208	ENST00000554192	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AKT1	ENSG00000142208	ENST00000554581	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
AKT1	ENSG00000142208	ENST00000554848	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
AKT1	ENSG00000142208	ENST00000555458	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AKT1	ENSG00000142208	ENST00000555528	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
AKT1	ENSG00000142208	ENST00000649815	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
AKT1	ENSG00000142208	ENST00000683722	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
WRN	ENSG00000165392	ENST00000298139	protein_coding	0	1	1	0	0	0	0	0	0	1	0	0	1	0
FGFR2	ENSG00000066468	ENST00000336553	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000346997	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000351936	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000356226	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000357555	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	1	0
FGFR2	ENSG00000066468	ENST00000358487	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000360144	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000369056	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000369058	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000369059	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000369060	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000369061	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000429361	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000457416	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000478859	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000613048	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000638709	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000682550	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000682772	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000683211	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000684153	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000332149	protein_coding	0	1	0	3	0	0	0	0	3	0	0	0	1	0
TMPRSS2	ENSG00000184012	ENST00000398585	protein_coding	0	1	0	3	0	0	0	0	3	0	0	0	1	0
TMPRSS2	ENSG00000184012	ENST00000424093	protein_coding	0	1	0	3	0	0	0	0	3	0	0	0	1	0
TMPRSS2	ENSG00000184012	ENST00000454499	protein_coding	0	1	0	3	0	0	0	0	3	0	0	0	1	0
TMPRSS2	ENSG00000184012	ENST00000455813	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0
TMPRSS2	ENSG00000184012	ENST00000458356	protein_coding	0	1	0	3	0	0	0	0	3	0	0	0	1	0
TMPRSS2	ENSG00000184012	ENST00000676973	protein_coding	0	1	0	3	0	0	0	0	3	0	0	0	1	0
TMPRSS2	ENSG00000184012	ENST00000678171	protein_coding	0	1	0	3	0	0	0	0	3	0	0	0	1	0
TMPRSS2	ENSG00000184012	ENST00000678348	protein_coding	0	1	0	3	0	0	0	0	3	0	0	0	1	0
TMPRSS2	ENSG00000184012	ENST00000678743	protein_coding	0	1	0	3	0	0	0	0	3	0	0	0	1	0
TMPRSS2	ENSG00000184012	ENST00000679016	protein_coding	0	1	0	3	0	0	0	0	3	0	0	0	1	0
TMPRSS2	ENSG00000184012	ENST00000679054	protein_coding	0	1	0	3	0	0	0	0	3	0	0	0	1	0
TMPRSS2	ENSG00000184012	ENST00000679263	protein_coding	0	1	0	3	0	0	0	0	3	0	0	0	1	0
MSH2	ENSG00000095002	ENST00000233146	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
MSH2	ENSG00000095002	ENST00000406134	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
MSH2	ENSG00000095002	ENST00000543555	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
MSH2	ENSG00000095002	ENST00000645506	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
