# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
BARD1	ENSG00000138376	ENST00000260947	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
BARD1	ENSG00000138376	ENST00000421162	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
BARD1	ENSG00000138376	ENST00000613374	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
BARD1	ENSG00000138376	ENST00000613706	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
BARD1	ENSG00000138376	ENST00000617164	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
BARD1	ENSG00000138376	ENST00000619009	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
BARD1	ENSG00000138376	ENST00000620057	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ROS1	ENSG00000047936	ENST00000368507	protein_coding	0	0	1	2	0	0	0	0	2	1	0	0	0	0
ROS1	ENSG00000047936	ENST00000368508	protein_coding	0	0	1	2	0	0	0	0	2	1	0	0	0	0
NTRK3	ENSG00000140538	ENST00000317501	protein_coding	0	1	0	23	0	0	0	0	23	0	0	0	1	0
NTRK3	ENSG00000140538	ENST00000355254	protein_coding	0	1	0	28	0	0	0	0	28	0	0	0	1	0
NTRK3	ENSG00000140538	ENST00000357724	protein_coding	0	1	0	28	0	0	0	0	28	0	0	0	1	0
NTRK3	ENSG00000140538	ENST00000360948	protein_coding	0	1	0	28	0	0	0	0	28	0	0	0	1	0
NTRK3	ENSG00000140538	ENST00000394480	protein_coding	0	1	0	28	0	0	0	0	28	0	0	0	1	0
NTRK3	ENSG00000140538	ENST00000540489	protein_coding	0	1	0	23	0	0	0	0	23	0	0	0	1	0
NTRK3	ENSG00000140538	ENST00000542733	protein_coding	0	1	0	28	0	0	0	0	28	0	0	0	1	0
NTRK3	ENSG00000140538	ENST00000557856	protein_coding	0	1	0	28	0	0	0	0	28	0	0	0	1	0
NTRK3	ENSG00000140538	ENST00000558676	protein_coding	0	1	0	28	0	0	0	0	28	0	0	0	1	0
NTRK3	ENSG00000140538	ENST00000560017	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000626019	protein_coding	0	1	0	28	0	0	0	0	28	0	0	0	1	0
NTRK3	ENSG00000140538	ENST00000629765	protein_coding	0	1	0	28	0	0	0	0	28	0	0	0	1	0
