# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
KDR	ENSG00000128052	ENST00000263923	protein_coding	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0
BRCA1	ENSG00000012048	ENST00000352993	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000354071	protein_coding	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000357654	protein_coding	0	0	2	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000461574	protein_coding	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	2
BRCA1	ENSG00000012048	ENST00000468300	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000470026	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000471181	protein_coding	0	0	2	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000473961	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000476777	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000477152	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000478531	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000484087	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000487825	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000491747	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000493795	protein_coding	0	0	2	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000493919	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000494123	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000497488	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000586385	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000591534	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000591849	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000634433	protein_coding	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000644379	protein_coding	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	2
BRCA1	ENSG00000012048	ENST00000652672	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000296302	protein_coding	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
PBRM1	ENSG00000163939	ENST00000337303	protein_coding	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
PBRM1	ENSG00000163939	ENST00000356770	protein_coding	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
PBRM1	ENSG00000163939	ENST00000394830	protein_coding	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000409057	protein_coding	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
PBRM1	ENSG00000163939	ENST00000409114	protein_coding	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
PBRM1	ENSG00000163939	ENST00000409767	protein_coding	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
PBRM1	ENSG00000163939	ENST00000410007	protein_coding	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
PBRM1	ENSG00000163939	ENST00000420148	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000423351	protein_coding	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
PBRM1	ENSG00000163939	ENST00000424867	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000431678	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000439181	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000446103	protein_coding	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
PBRM1	ENSG00000163939	ENST00000449505	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000450271	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PBRM1	ENSG00000163939	ENST00000458294	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
POLE	ENSG00000177084	ENST00000320574	protein_coding	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
POLE	ENSG00000177084	ENST00000535270	protein_coding	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
NRG1	ENSG00000157168	ENST00000287842	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000356819	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000405005	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000518084	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NRG1	ENSG00000157168	ENST00000518206	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000519240	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NRG1	ENSG00000157168	ENST00000519301	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000520407	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000520502	protein_coding	0	1	0	5	0	0	0	0	0	4	0	0	0	0	0	0	1	1
NRG1	ENSG00000157168	ENST00000521670	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000522402	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NRG1	ENSG00000157168	ENST00000522569	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000523041	protein_coding	0	1	0	5	0	0	0	0	0	4	0	0	0	0	0	0	1	1
NRG1	ENSG00000157168	ENST00000523079	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000523534	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000539990	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NRG1	ENSG00000157168	ENST00000650819	protein_coding	0	1	0	5	0	0	0	0	0	4	0	0	0	0	0	0	1	1
NRG1	ENSG00000157168	ENST00000650866	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000650919	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000650967	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000650980	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000651149	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000651333	protein_coding	0	1	0	5	0	0	0	0	0	4	0	0	0	0	0	0	1	1
NRG1	ENSG00000157168	ENST00000651335	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000652588	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0
NRG1	ENSG00000157168	ENST00000652592	protein_coding	0	1	0	5	0	0	0	0	0	4	0	0	0	0	0	0	1	1
NRG1	ENSG00000157168	ENST00000652698	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0
BRCA2	ENSG00000139618	ENST00000380152	protein_coding	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
BRCA2	ENSG00000139618	ENST00000544455	protein_coding	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
BRCA2	ENSG00000139618	ENST00000680887	protein_coding	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MAP3K1	ENSG00000095015	ENST00000399503	protein_coding	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0
ARAF	ENSG00000078061	ENST00000377039	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ARAF	ENSG00000078061	ENST00000377045	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000452508	protein_coding	0	0	2	3	0	0	0	0	0	3	2	0	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000675843	protein_coding	0	0	2	3	0	0	0	0	0	3	2	0	0	0	0	0	0	0
ERCC4	ENSG00000175595	ENST00000311895	protein_coding	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ERCC4	ENSG00000175595	ENST00000575156	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ERCC4	ENSG00000175595	ENST00000682617	protein_coding	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
APC	ENSG00000134982	ENST00000257430	protein_coding	1	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
APC	ENSG00000134982	ENST00000504915	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
APC	ENSG00000134982	ENST00000507379	protein_coding	1	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0
APC	ENSG00000134982	ENST00000508376	protein_coding	1	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
APC	ENSG00000134982	ENST00000512211	protein_coding	1	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0
FANCD2	ENSG00000144554	ENST00000287647	protein_coding	0	0	1	3	0	0	0	0	0	3	1	0	0	0	0	0	0	0
FANCD2	ENSG00000144554	ENST00000419585	protein_coding	0	0	1	3	0	0	0	0	0	3	1	0	0	0	0	0	0	0
FANCD2	ENSG00000144554	ENST00000431693	protein_coding	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
