# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AR	ENSG00000169083	ENST00000374690	protein_coding	0	0	1	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0
AR	ENSG00000169083	ENST00000396044	protein_coding	0	0	1	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0
AR	ENSG00000169083	ENST00000504326	protein_coding	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0
ATR	ENSG00000175054	ENST00000350721	protein_coding	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ATR	ENSG00000175054	ENST00000661310	protein_coding	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000269571	protein_coding	0	2	0	3	0	0	0	0	0	3	0	0	0	0	0	0	2	0
ERBB2	ENSG00000141736	ENST00000406381	protein_coding	0	2	0	3	0	0	0	0	0	3	0	0	0	0	0	0	2	0
ERBB2	ENSG00000141736	ENST00000445658	protein_coding	0	2	0	3	0	0	0	0	0	3	0	0	0	0	0	0	2	0
ERBB2	ENSG00000141736	ENST00000541774	protein_coding	0	2	0	3	0	0	0	0	0	3	0	0	0	0	0	0	2	0
ERBB2	ENSG00000141736	ENST00000578199	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000578502	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000578709	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ERBB2	ENSG00000141736	ENST00000580074	protein_coding	0	1	0	3	0	0	0	2	0	0	0	0	0	0	0	0	1	1
ERBB2	ENSG00000141736	ENST00000582818	protein_coding	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	1
ERBB2	ENSG00000141736	ENST00000584450	protein_coding	0	1	0	4	1	0	0	0	0	3	0	0	0	0	0	0	1	0
ERBB2	ENSG00000141736	ENST00000584601	protein_coding	0	2	0	3	0	0	0	0	0	3	0	0	0	0	0	0	2	0
PDGFRA	ENSG00000134853	ENST00000257290	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000277120	protein_coding	0	0	1	4	0	0	0	0	0	4	1	0	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000304053	protein_coding	0	0	1	4	0	0	0	0	0	4	1	0	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000323115	protein_coding	0	0	1	4	0	0	0	0	0	4	1	0	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000359847	protein_coding	0	0	1	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000376208	protein_coding	0	0	1	4	0	0	0	0	0	4	1	0	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000376213	protein_coding	0	0	1	4	0	0	0	0	0	4	1	0	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000395882	protein_coding	0	0	1	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0
