#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATM	BARD1	9606.ENSP00000278616	9606.ENSP00000260947	0	0	0	0	0.044	0.070	0.500	0	0.516
ATM	ERCC4	9606.ENSP00000278616	9606.ENSP00000310520	0	0	0	0	0.060	0	0.900	0	0.901
ATM	FANCD2	9606.ENSP00000278616	9606.ENSP00000287647	0	0	0	0	0.044	0.321	0.540	0	0.675
ATM	BRCA2	9606.ENSP00000278616	9606.ENSP00000369497	0	0	0	0	0.048	0.313	0.800	0	0.857
ATM	BRCA1	9606.ENSP00000278616	9606.ENSP00000418960	0	0	0	0	0.042	0.847	0.900	0	0.984
BARD1	ERCC4	9606.ENSP00000260947	9606.ENSP00000310520	0	0	0	0	0.084	0.051	0.400	0	0.433
BARD1	ATM	9606.ENSP00000260947	9606.ENSP00000278616	0	0	0	0	0.044	0.070	0.500	0	0.516
BARD1	BRCA2	9606.ENSP00000260947	9606.ENSP00000369497	0	0	0	0	0.188	0.793	0.720	0	0.949
BARD1	BRCA1	9606.ENSP00000260947	9606.ENSP00000418960	0	0	0	0.552	0.201	0.999	0.900	0	0.999
BRCA1	BARD1	9606.ENSP00000418960	9606.ENSP00000260947	0	0	0	0.552	0.201	0.999	0.900	0	0.999
BRCA1	ATM	9606.ENSP00000418960	9606.ENSP00000278616	0	0	0	0	0.042	0.847	0.900	0	0.984
BRCA1	FANCD2	9606.ENSP00000418960	9606.ENSP00000287647	0	0	0	0	0.472	0.779	0.540	0	0.941
BRCA1	ERCC4	9606.ENSP00000418960	9606.ENSP00000310520	0	0	0	0	0.102	0.439	0.540	0	0.748
BRCA1	BRCA2	9606.ENSP00000418960	9606.ENSP00000369497	0	0	0	0	0.383	0.896	0.900	0	0.993
BRCA2	BARD1	9606.ENSP00000369497	9606.ENSP00000260947	0	0	0	0	0.188	0.793	0.720	0	0.949
BRCA2	ATM	9606.ENSP00000369497	9606.ENSP00000278616	0	0	0	0	0.048	0.313	0.800	0	0.857
BRCA2	FANCD2	9606.ENSP00000369497	9606.ENSP00000287647	0	0	0	0	0.217	0.842	0.900	0	0.986
BRCA2	ERCC4	9606.ENSP00000369497	9606.ENSP00000310520	0	0	0	0	0.090	0	0.540	0	0.563
BRCA2	BRCA1	9606.ENSP00000369497	9606.ENSP00000418960	0	0	0	0	0.383	0.896	0.900	0	0.993
ERCC4	BARD1	9606.ENSP00000310520	9606.ENSP00000260947	0	0	0	0	0.084	0.051	0.400	0	0.433
ERCC4	ATM	9606.ENSP00000310520	9606.ENSP00000278616	0	0	0	0	0.060	0	0.900	0	0.901
ERCC4	FANCD2	9606.ENSP00000310520	9606.ENSP00000287647	0	0	0	0	0.101	0.301	0.540	0	0.685
ERCC4	BRCA2	9606.ENSP00000310520	9606.ENSP00000369497	0	0	0	0	0.090	0	0.540	0	0.563
ERCC4	BRCA1	9606.ENSP00000310520	9606.ENSP00000418960	0	0	0	0	0.102	0.439	0.540	0	0.748
FANCD2	ATM	9606.ENSP00000287647	9606.ENSP00000278616	0	0	0	0	0.044	0.321	0.540	0	0.675
FANCD2	ERCC4	9606.ENSP00000287647	9606.ENSP00000310520	0	0	0	0	0.101	0.301	0.540	0	0.685
FANCD2	BRCA1	9606.ENSP00000287647	9606.ENSP00000418960	0	0	0	0	0.472	0.779	0.540	0	0.941
FANCD2	BRCA2	9606.ENSP00000287647	9606.ENSP00000369497	0	0	0	0	0.217	0.842	0.900	0	0.986
MAP2K1	MAP3K1	9606.ENSP00000302486	9606.ENSP00000382423	0	0	0	0.641	0.086	0.754	0.900	0	0.975
MAP3K1	MAP2K1	9606.ENSP00000382423	9606.ENSP00000302486	0	0	0	0.641	0.086	0.754	0.900	0	0.975
