#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WikiPathways	WP3651	Pathways affected in adenoid cystic carcinoma	2	65	2.31	0.0266	9606.ENSP00000278616,9606.ENSP00000386759	ATM,SETD2
WikiPathways	WP4946	DNA repair pathways, full network	2	120	2.04	0.0444	9606.ENSP00000278616,9606.ENSP00000385021	ATM,FANCL
Monarch	HP:0004377	Hematological neoplasm	3	232	1.93	0.0204	9606.ENSP00000278616,9606.ENSP00000385021,9606.ENSP00000386759	ATM,FANCL,SETD2
Monarch	HP:0000953	Hyperpigmentation of the skin	3	297	1.82	0.0213	9606.ENSP00000278616,9606.ENSP00000385021,9606.ENSP00000386759	ATM,FANCL,SETD2
Monarch	HP:0000008	Abnormal morphology of female internal genitalia	3	355	1.74	0.0242	9606.ENSP00000278616,9606.ENSP00000385021,9606.ENSP00000386759	ATM,FANCL,SETD2
Monarch	HP:0000812	Abnormal internal genitalia	3	391	1.7	0.0242	9606.ENSP00000278616,9606.ENSP00000385021,9606.ENSP00000386759	ATM,FANCL,SETD2
Monarch	HP:0010460	Abnormality of the female genitalia	3	422	1.67	0.0242	9606.ENSP00000278616,9606.ENSP00000385021,9606.ENSP00000386759	ATM,FANCL,SETD2
Monarch	HP:0100587	Abnormal preputium morphology	2	30	2.64	0.0242	9606.ENSP00000385021,9606.ENSP00000386759	FANCL,SETD2
Monarch	HP:0000147	Polycystic ovaries	2	48	2.44	0.0279	9606.ENSP00000278616,9606.ENSP00000386759	ATM,SETD2
Monarch	HP:0001881	Abnormal leukocyte morphology	3	517	1.58	0.0279	9606.ENSP00000278616,9606.ENSP00000385021,9606.ENSP00000386759	ATM,FANCL,SETD2
Monarch	HP:0003220	Abnormality of chromosome stability	2	49	2.43	0.0279	9606.ENSP00000278616,9606.ENSP00000385021	ATM,FANCL
Monarch	HP:0007565	Multiple cafe-au-lait spots	2	60	2.34	0.0279	9606.ENSP00000278616,9606.ENSP00000385021	ATM,FANCL
Monarch	HP:0010987	Abnormal cellular immune system morphology	3	517	1.58	0.0279	9606.ENSP00000278616,9606.ENSP00000385021,9606.ENSP00000386759	ATM,FANCL,SETD2
Monarch	HP:0000080	Abnormality of reproductive system physiology	3	659	1.48	0.0307	9606.ENSP00000278616,9606.ENSP00000385021,9606.ENSP00000386759	ATM,FANCL,SETD2
Monarch	HP:0002719	Recurrent infections	3	721	1.44	0.0377	9606.ENSP00000278616,9606.ENSP00000385021,9606.ENSP00000386759	ATM,FANCL,SETD2
Monarch	HP:0032101	Unusual infection	3	748	1.42	0.0377	9606.ENSP00000278616,9606.ENSP00000385021,9606.ENSP00000386759	ATM,FANCL,SETD2
Monarch	HP:0000035	Abnormal testis morphology	3	793	1.4	0.0401	9606.ENSP00000278616,9606.ENSP00000385021,9606.ENSP00000386759	ATM,FANCL,SETD2
UniProt Keywords	KW-0227	DNA damage	3	386	1.71	0.0051	9606.ENSP00000278616,9606.ENSP00000385021,9606.ENSP00000386759	ATM,FANCL,SETD2
