#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0031297	Replication fork processing	4	45	2.34	3.68e-05	9606.ENSP00000260947,9606.ENSP00000267430,9606.ENSP00000362441,9606.ENSP00000418960	BARD1,FANCM,ATRX,BRCA1
GO Process	GO:0035825	Homologous recombination	3	63	2.07	0.0062	9606.ENSP00000260947,9606.ENSP00000267430,9606.ENSP00000418960	BARD1,FANCM,BRCA1
GO Process	GO:0010948	Negative regulation of cell cycle process	4	272	1.56	0.0066	9606.ENSP00000228872,9606.ENSP00000260947,9606.ENSP00000362441,9606.ENSP00000418960	CDKN1B,BARD1,ATRX,BRCA1
GO Process	GO:0006974	Cellular response to DNA damage stimulus	5	744	1.22	0.0089	9606.ENSP00000228872,9606.ENSP00000260947,9606.ENSP00000267430,9606.ENSP00000362441,9606.ENSP00000418960	CDKN1B,BARD1,FANCM,ATRX,BRCA1
GO Process	GO:0110025	DNA strand resection involved in replication fork processing	2	7	2.85	0.0102	9606.ENSP00000260947,9606.ENSP00000418960	BARD1,BRCA1
GO Process	GO:0022402	Cell cycle process	5	835	1.17	0.0113	9606.ENSP00000228872,9606.ENSP00000260947,9606.ENSP00000267430,9606.ENSP00000362441,9606.ENSP00000418960	CDKN1B,BARD1,FANCM,ATRX,BRCA1
GO Process	GO:0070537	Histone H2A K63-linked deubiquitination	2	8	2.79	0.0113	9606.ENSP00000260947,9606.ENSP00000418960	BARD1,BRCA1
GO Process	GO:0085020	Protein K6-linked ubiquitination	2	9	2.74	0.0113	9606.ENSP00000260947,9606.ENSP00000418960	BARD1,BRCA1
GO Process	GO:0060768	Regulation of epithelial cell proliferation involved in prostate gland development	2	10	2.69	0.0115	9606.ENSP00000228872,9606.ENSP00000363822	CDKN1B,AR
GO Process	GO:0007093	Mitotic cell cycle checkpoint signaling	3	127	1.76	0.0172	9606.ENSP00000228872,9606.ENSP00000260947,9606.ENSP00000418960	CDKN1B,BARD1,BRCA1
GO Process	GO:0042770	Signal transduction in response to DNA damage	3	135	1.74	0.0192	9606.ENSP00000228872,9606.ENSP00000362441,9606.ENSP00000418960	CDKN1B,ATRX,BRCA1
GO Process	GO:0072520	Seminiferous tubule development	2	15	2.52	0.0192	9606.ENSP00000362441,9606.ENSP00000363822	ATRX,AR
GO Process	GO:0006281	DNA repair	4	497	1.3	0.0246	9606.ENSP00000260947,9606.ENSP00000267430,9606.ENSP00000362441,9606.ENSP00000418960	BARD1,FANCM,ATRX,BRCA1
GO Process	GO:1901991	Negative regulation of mitotic cell cycle phase transition	3	167	1.65	0.0282	9606.ENSP00000228872,9606.ENSP00000260947,9606.ENSP00000418960	CDKN1B,BARD1,BRCA1
GO Process	GO:0035518	Histone H2A monoubiquitination	2	23	2.33	0.0338	9606.ENSP00000260947,9606.ENSP00000418960	BARD1,BRCA1
GO Process	GO:0002064	Epithelial cell development	3	190	1.59	0.0364	9606.ENSP00000357494,9606.ENSP00000362441,9606.ENSP00000363822	ROS1,ATRX,AR
GO Process	GO:0051570	Regulation of histone H3-K9 methylation	2	27	2.26	0.0397	9606.ENSP00000362441,9606.ENSP00000418960	ATRX,BRCA1
GO Process	GO:2000001	Regulation of DNA damage checkpoint	2	27	2.26	0.0397	9606.ENSP00000260947,9606.ENSP00000418960	BARD1,BRCA1
GO Process	GO:0009893	Positive regulation of metabolic process	7	3847	0.65	0.0427	9606.ENSP00000228872,9606.ENSP00000260947,9606.ENSP00000267430,9606.ENSP00000357494,9606.ENSP00000362441,9606.ENSP00000363822,9606.ENSP00000418960	CDKN1B,BARD1,FANCM,ROS1,ATRX,AR,BRCA1
GO Component	GO:0031436	BRCA1-BARD1 complex	2	4	3.09	0.0044	9606.ENSP00000260947,9606.ENSP00000418960	BARD1,BRCA1
GO Component	GO:0070531	BRCA1-A complex	2	8	2.79	0.0044	9606.ENSP00000260947,9606.ENSP00000418960	BARD1,BRCA1
GO Component	GO:0070532	BRCA1-B complex	2	4	3.09	0.0044	9606.ENSP00000260947,9606.ENSP00000418960	BARD1,BRCA1
GO Component	GO:0070533	BRCA1-C complex	2	6	2.91	0.0044	9606.ENSP00000260947,9606.ENSP00000418960	BARD1,BRCA1
STRING clusters	CL:6147	DNA repair pathways, full network, and HDR through Homologous Recombination (HRR)	3	96	1.89	0.0184	9606.ENSP00000260947,9606.ENSP00000267430,9606.ENSP00000418960	BARD1,FANCM,BRCA1
STRING clusters	CL:6207	BRCA1-C complex	2	6	2.91	0.0184	9606.ENSP00000260947,9606.ENSP00000418960	BARD1,BRCA1
KEGG	hsa03440	Homologous recombination	2	38	2.11	0.0375	9606.ENSP00000260947,9606.ENSP00000418960	BARD1,BRCA1
KEGG	hsa03460	Fanconi anemia pathway	2	51	1.98	0.0375	9606.ENSP00000267430,9606.ENSP00000418960	FANCM,BRCA1
