#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AR	RB1	9606.ENSP00000363822	9606.ENSP00000267163	0	0	0	0	0	0.629	0.500	0	0.806
AR	SMARCA4	9606.ENSP00000363822	9606.ENSP00000343896	0	0	0	0	0	0.703	0	0	0.703
ARID1A	FUS	9606.ENSP00000320485	9606.ENSP00000254108	0	0	0	0	0.327	0.292	0	0	0.503
ARID1A	RB1	9606.ENSP00000320485	9606.ENSP00000267163	0	0	0	0	0.044	0	0.720	0	0.720
ARID1A	SMARCA4	9606.ENSP00000320485	9606.ENSP00000343896	0	0	0	0	0.250	0.998	0.900	0	0.999
ATR	MSH2	9606.ENSP00000343741	9606.ENSP00000233146	0	0	0	0	0.292	0.775	0	0	0.834
ATR	FANCM	9606.ENSP00000343741	9606.ENSP00000267430	0	0	0	0	0.138	0.454	0.900	0	0.948
ATR	WRN	9606.ENSP00000343741	9606.ENSP00000298139	0	0	0	0	0.227	0.796	0.500	0	0.914
ATR	MCPH1	9606.ENSP00000343741	9606.ENSP00000342924	0	0	0	0	0.067	0.496	0	0	0.510
ATR	BRCA2	9606.ENSP00000343741	9606.ENSP00000369497	0	0	0	0	0.105	0	0.500	0	0.533
ATRX	WRN	9606.ENSP00000362441	9606.ENSP00000298139	0.048	0	0	0	0.057	0.399	0	0	0.413
BIVM-ERCC5	ERCC5	9606.ENSP00000491742	9606.ENSP00000498881	0	0	0.046	0.987	0	0.800	0.900	0	0.979
BRCA2	MSH2	9606.ENSP00000369497	9606.ENSP00000233146	0	0	0	0	0.160	0	0.540	0	0.597
BRCA2	WRN	9606.ENSP00000369497	9606.ENSP00000298139	0	0	0	0	0.142	0	0.500	0	0.552
BRCA2	MCPH1	9606.ENSP00000369497	9606.ENSP00000342924	0	0	0	0	0.104	0.488	0	0	0.521
BRCA2	ATR	9606.ENSP00000369497	9606.ENSP00000343741	0	0	0	0	0.105	0	0.500	0	0.533
BRCA2	ERCC5	9606.ENSP00000369497	9606.ENSP00000498881	0	0	0	0	0.056	0.292	0.540	0	0.665
CDKN1B	RB1	9606.ENSP00000228872	9606.ENSP00000267163	0	0	0	0	0.049	0.096	0.500	0	0.532
ERCC5	MSH2	9606.ENSP00000498881	9606.ENSP00000233146	0	0	0	0	0.113	0.191	0.900	0	0.922
ERCC5	BRCA2	9606.ENSP00000498881	9606.ENSP00000369497	0	0	0	0	0.056	0.292	0.540	0	0.665
ERCC5	BIVM-ERCC5	9606.ENSP00000498881	9606.ENSP00000491742	0	0	0.046	0.987	0	0.800	0.900	0	0.979
FANCM	MSH2	9606.ENSP00000267430	9606.ENSP00000233146	0	0	0	0	0.111	0.495	0	0	0.532
FANCM	ATR	9606.ENSP00000267430	9606.ENSP00000343741	0	0	0	0	0.138	0.454	0.900	0	0.948
FANCM	WRN	9606.ENSP00000267430	9606.ENSP00000298139	0	0	0	0	0.179	0.967	0	0	0.971
FUS	ARID1A	9606.ENSP00000254108	9606.ENSP00000320485	0	0	0	0	0.327	0.292	0	0	0.503
FUS	SMARCA4	9606.ENSP00000254108	9606.ENSP00000343896	0	0	0	0	0.226	0.424	0	0	0.535
MCPH1	ATR	9606.ENSP00000342924	9606.ENSP00000343741	0	0	0	0	0.067	0.496	0	0	0.510
MCPH1	BRCA2	9606.ENSP00000342924	9606.ENSP00000369497	0	0	0	0	0.104	0.488	0	0	0.521
MSH2	FANCM	9606.ENSP00000233146	9606.ENSP00000267430	0	0	0	0	0.111	0.495	0	0	0.532
MSH2	ATR	9606.ENSP00000233146	9606.ENSP00000343741	0	0	0	0	0.292	0.775	0	0	0.834
MSH2	MUTYH	9606.ENSP00000233146	9606.ENSP00000500891	0.046	0	0	0	0.060	0.510	0	0	0.522
MSH2	ERCC5	9606.ENSP00000233146	9606.ENSP00000498881	0	0	0	0	0.113	0.191	0.900	0	0.922
MSH2	BRCA2	9606.ENSP00000233146	9606.ENSP00000369497	0	0	0	0	0.160	0	0.540	0	0.597
MUTYH	MSH2	9606.ENSP00000500891	9606.ENSP00000233146	0.046	0	0	0	0.060	0.510	0	0	0.522
NTRK2	PIK3R1	9606.ENSP00000277120	9606.ENSP00000428056	0	0	0	0	0.067	0.360	0.500	0	0.675
