#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0006974	Cellular response to DNA damage stimulus	12	744	1.14	1.33e-07	9606.ENSP00000228872,9606.ENSP00000233146,9606.ENSP00000267430,9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000428056,9606.ENSP00000489597,9606.ENSP00000491742,9606.ENSP00000498881,9606.ENSP00000500891	CDKN1B,MSH2,FANCM,WRN,ATR,ATRX,BRCA2,PIK3R1,PTPN11,BIVM-ERCC5,ERCC5,MUTYH
GO Process	GO:0033554	Cellular response to stress	14	1572	0.88	1.43e-06	9606.ENSP00000228872,9606.ENSP00000233146,9606.ENSP00000267430,9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000351742,9606.ENSP00000362441,9606.ENSP00000364699,9606.ENSP00000369497,9606.ENSP00000428056,9606.ENSP00000489597,9606.ENSP00000491742,9606.ENSP00000498881,9606.ENSP00000500891	CDKN1B,MSH2,FANCM,WRN,ATR,TFEB,ATRX,SDHD,BRCA2,PIK3R1,PTPN11,BIVM-ERCC5,ERCC5,MUTYH
GO Process	GO:0006281	DNA repair	9	497	1.19	1.39e-05	9606.ENSP00000233146,9606.ENSP00000267430,9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000491742,9606.ENSP00000498881,9606.ENSP00000500891	MSH2,FANCM,WRN,ATR,ATRX,BRCA2,BIVM-ERCC5,ERCC5,MUTYH
GO Process	GO:0010564	Regulation of cell cycle process	10	716	1.08	1.39e-05	9606.ENSP00000228872,9606.ENSP00000233146,9606.ENSP00000267163,9606.ENSP00000320485,9606.ENSP00000342924,9606.ENSP00000343741,9606.ENSP00000343896,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000489597	CDKN1B,MSH2,RB1,ARID1A,MCPH1,ATR,SMARCA4,ATRX,BRCA2,PTPN11
GO Process	GO:0031297	Replication fork processing	5	45	1.98	1.39e-05	9606.ENSP00000267430,9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497	FANCM,WRN,ATR,ATRX,BRCA2
GO Process	GO:0031325	Positive regulation of cellular metabolic process	16	3114	0.64	2.46e-05	9606.ENSP00000228872,9606.ENSP00000233146,9606.ENSP00000254108,9606.ENSP00000267163,9606.ENSP00000277120,9606.ENSP00000298139,9606.ENSP00000320485,9606.ENSP00000343741,9606.ENSP00000343896,9606.ENSP00000351742,9606.ENSP00000357494,9606.ENSP00000362441,9606.ENSP00000363822,9606.ENSP00000369497,9606.ENSP00000428056,9606.ENSP00000489597	CDKN1B,MSH2,FUS,RB1,NTRK2,WRN,ARID1A,ATR,SMARCA4,TFEB,ROS1,ATRX,AR,BRCA2,PIK3R1,PTPN11
GO Process	GO:0042770	Signal transduction in response to DNA damage	6	135	1.58	2.46e-05	9606.ENSP00000228872,9606.ENSP00000233146,9606.ENSP00000343741,9606.ENSP00000362441,9606.ENSP00000369497,9606.ENSP00000489597	CDKN1B,MSH2,ATR,ATRX,BRCA2,PTPN11
GO Process	GO:0051173	Positive regulation of nitrogen compound metabolic process	16	3166	0.64	2.63e-05	9606.ENSP00000228872,9606.ENSP00000233146,9606.ENSP00000254108,9606.ENSP00000267163,9606.ENSP00000267430,9606.ENSP00000277120,9606.ENSP00000298139,9606.ENSP00000320485,9606.ENSP00000343741,9606.ENSP00000343896,9606.ENSP00000351742,9606.ENSP00000362441,9606.ENSP00000363822,9606.ENSP00000369497,9606.ENSP00000428056,9606.ENSP00000489597	CDKN1B,MSH2,FUS,RB1,FANCM,NTRK2,WRN,ARID1A,ATR,SMARCA4,TFEB,ATRX,AR,BRCA2,PIK3R1,PTPN11
GO Process	GO:0090304	Nucleic acid metabolic process	14	2203	0.74	2.63e-05	9606.ENSP00000233146,9606.ENSP00000254108,9606.ENSP00000267163,9606.ENSP00000267430,9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000343896,9606.ENSP00000362441,9606.ENSP00000363822,9606.ENSP00000369497,9606.ENSP00000428056,9606.ENSP00000491742,9606.ENSP00000498881,9606.ENSP00000500891	MSH2,FUS,RB1,FANCM,WRN,ATR,SMARCA4,ATRX,AR,BRCA2,PIK3R1,BIVM-ERCC5,ERCC5,MUTYH
GO Process	GO:0006139	Nucleobase-containing compound metabolic process	15	2722	0.67	2.86e-05	9606.ENSP00000233146,9606.ENSP00000254108,9606.ENSP00000267163,9606.ENSP00000267430,9606.ENSP00000298139,9606.ENSP00000343741,9606.ENSP00000343896,9606.ENSP00000362441,9606.ENSP00000363822,9606.ENSP00000364699,9606.ENSP00000369497,9606.ENSP00000428056,9606.ENSP00000491742,9606.ENSP00000498881,9606.ENSP00000500891	MSH2,FUS,RB1,FANCM,WRN,ATR,SMARCA4,ATRX,AR,SDHD,BRCA2,PIK3R1,BIVM-ERCC5,ERCC5,MUTYH
